"Kod";"Nazwa";"ogółem;ogółem;2022;[zł]";
3024000;"Powiat szamotulski";4722;
3025000;"Powiat średzki";4857;
3026000;"Powiat śremski";4710;
3027000;"Powiat turecki";4797;
3028000;"Powiat wągrowiecki";4908;
3029000;"Powiat wolsztyński";4804;
3030000;"Powiat wrzesiński";4856;
3031000;"Powiat złotowski";4291;
3061000;"Powiat m. Kalisz";5307;
3062000;"Powiat m. Konin";4366;
3063000;"Powiat m. Leszno";6018;
3064000;"Powiat m. Poznań";8315;
3201000;"Powiat białogardzki";3269;
3202000;"Powiat choszczeński";2947;
3203000;"Powiat drawski";3089;
3204000;"Powiat goleniowski";5002;
3205000;"Powiat gryficki";11512;
3206000;"Powiat gryfiński";4597;
3207000;"Powiat kamieński";11060;
3208000;"Powiat kołobrzeski";8675;
3209000;"Powiat koszaliński";8544;
3210000;"Powiat myśliborski";4306;
3211000;"Powiat policki";6417;
3212000;"Powiat pyrzycki";2748;
3213000;"Powiat sławieński";5612;
3214000;"Powiat stargardzki";5050;
3215000;"Powiat szczecinecki";4370;
3216000;"Powiat świdwiński";2734;
3217000;"Powiat wałecki";3931;
3218000;"Powiat łobeski";2186;
3262000;"Powiat m. Szczecin";7505;
3263000;"Powiat m. Świnoujście";10437;
