"Kod";"Nazwa";"ludność w tysiącach;2022;[tys. osób]";
2414000;"Powiat bieruńsko-lędziński";59,57;
2415000;"Powiat wodzisławski";151,13;
2416000;"Powiat zawierciański";112,77;
2417000;"Powiat żywiecki";149,44;
2461000;"Powiat m. Bielsko-Biała";166,77;
2462000;"Powiat m. Bytom";149,58;
2463000;"Powiat m. Chorzów";101,91;
2464000;"Powiat m. Częstochowa";208,28;
2465000;"Powiat m. Dąbrowa Górnicza";114,77;
2466000;"Powiat m. Gliwice";171,02;
2467000;"Powiat m. Jastrzębie-Zdrój";83,14;
2468000;"Powiat m. Jaworzno";87,55;
2469000;"Powiat m. Katowice";280,19;
2470000;"Powiat m. Mysłowice";71,64;
2471000;"Powiat m. Piekary Śląskie";52,14;
2472000;"Powiat m. Ruda Śląska";131,53;
2473000;"Powiat m. Rybnik";131,74;
2474000;"Powiat m. Siemianowice Śląskie";63,89;
2475000;"Powiat m. Sosnowiec";189,18;
2476000;"Powiat m. Świętochłowice";45,80;
2477000;"Powiat m. Tychy";123,11;
2478000;"Powiat m. Zabrze";155,43;
2479000;"Powiat m. Żory";61,82;
2601000;"Powiat buski";68,47;
2602000;"Powiat jędrzejowski";81,79;
2603000;"Powiat kazimierski";31,97;
2604000;"Powiat kielecki";211,77;
2605000;"Powiat konecki";74,56;
2606000;"Powiat opatowski";48,89;
2607000;"Powiat ostrowiecki";101,31;
2608000;"Powiat pińczowski";37,01;
2609000;"Powiat sandomierski";72,62;
2610000;"Powiat skarżyski";69,09;
2611000;"Powiat starachowicki";84,51;
2612000;"Powiat staszowski";69,00;
2613000;"Powiat włoszczowski";43,29;
2661000;"Powiat m. Kielce";183,89;
2801000;"Powiat bartoszycki";53,22;
2802000;"Powiat braniewski";37,85;
2803000;"Powiat działdowski";61,92;
2804000;"Powiat elbląski";54,62;
2805000;"Powiat ełcki";88,62;
2806000;"Powiat giżycki";54,02;
2807000;"Powiat iławski";90,22;
2808000;"Powiat kętrzyński";57,79;
2809000;"Powiat lidzbarski";38,54;
2810000;"Powiat mrągowski";47,86;
2811000;"Powiat nidzicki";30,67;
2812000;"Powiat nowomiejski";42,21;
2813000;"Powiat olecki";32,22;
2814000;"Powiat olsztyński";129,56;
2815000;"Powiat ostródzki";99,74;
2816000;"Powiat piski";52,54;
2817000;"Powiat szczycieński";66,86;
2818000;"Powiat gołdapski";25,15;
2819000;"Powiat węgorzewski";21,06;
2861000;"Powiat m. Elbląg";113,57;
2862000;"Powiat m. Olsztyn";168,21;
3001000;"Powiat chodzieski";45,48;
3002000;"Powiat czarnkowsko-trzcianecki";84,02;
3003000;"Powiat gnieźnieński";141,75;
3004000;"Powiat gostyński";73,90;
3005000;"Powiat grodziski";51,63;
3006000;"Powiat jarociński";70,04;
3007000;"Powiat kaliski";82,50;
