"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
2408000;"Powiat mikołowski";427,8;
2409000;"Powiat myszkowski";142,0;
2410000;"Powiat pszczyński";235,4;
2411000;"Powiat raciborski";183,9;
2412000;"Powiat rybnicki";343,4;
2413000;"Powiat tarnogórski";216,1;
2414000;"Powiat bieruńsko-lędziński";376,7;
2415000;"Powiat wodzisławski";527,0;
2416000;"Powiat zawierciański";112,4;
2417000;"Powiat żywiecki";143,7;
2461000;"Powiat m. Bielsko-Biała";1340,0;
2462000;"Powiat m. Bytom";2152,8;
2463000;"Powiat m. Chorzów";3058,6;
2464000;"Powiat m. Częstochowa";1304,0;
2465000;"Powiat m. Dąbrowa Górnicza";608,1;
2466000;"Powiat m. Gliwice";1277,4;
2467000;"Powiat m. Jastrzębie-Zdrój";974,2;
2468000;"Powiat m. Jaworzno";574,5;
2469000;"Powiat m. Katowice";1700,9;
2470000;"Powiat m. Mysłowice";1091,0;
2471000;"Powiat m. Piekary Śląskie";1308,0;
2472000;"Powiat m. Ruda Śląska";1694,1;
2473000;"Powiat m. Rybnik";888,5;
2474000;"Powiat m. Siemianowice Śląskie";2504,6;
2475000;"Powiat m. Sosnowiec";2075,2;
2476000;"Powiat m. Świętochłowice";3443,2;
2477000;"Powiat m. Tychy";1504,8;
2478000;"Powiat m. Zabrze";1932,7;
2479000;"Powiat m. Żory";956,3;
2601000;"Powiat buski";70,7;
2602000;"Powiat jędrzejowski";65,1;
2603000;"Powiat kazimierski";75,7;
2604000;"Powiat kielecki";94,3;
2605000;"Powiat konecki";65,4;
2606000;"Powiat opatowski";53,7;
2607000;"Powiat ostrowiecki";164,3;
2608000;"Powiat pińczowski";60,4;
2609000;"Powiat sandomierski";107,4;
2610000;"Powiat skarżyski";174,7;
2611000;"Powiat starachowicki";161,5;
2612000;"Powiat staszowski";74,6;
2613000;"Powiat włoszczowski";47,8;
2661000;"Powiat m. Kielce";1677,0;
2801000;"Powiat bartoszycki";40,7;
2802000;"Powiat braniewski";31,4;
2803000;"Powiat działdowski";64,9;
2804000;"Powiat elbląski";38,7;
2805000;"Powiat ełcki";79,6;
2806000;"Powiat giżycki";48,2;
2807000;"Powiat iławski";65,1;
2808000;"Powiat kętrzyński";47,6;
2809000;"Powiat lidzbarski";41,7;
2810000;"Powiat mrągowski";45,0;
2811000;"Powiat nidzicki";31,9;
2812000;"Powiat nowomiejski";60,8;
2813000;"Powiat olecki";36,9;
2814000;"Powiat olsztyński";45,6;
2815000;"Powiat ostródzki";56,5;
2816000;"Powiat piski";29,6;
2817000;"Powiat szczycieński";34,6;
2818000;"Powiat gołdapski";32,6;
2819000;"Powiat węgorzewski";30,4;
2861000;"Powiat m. Elbląg";1422,8;
2862000;"Powiat m. Olsztyn";1904,6;
3001000;"Powiat chodzieski";66,4;
3002000;"Powiat czarnkowsko-trzcianecki";46,5;
3003000;"Powiat gnieźnieński";113,0;
3004000;"Powiat gostyński";91,2;
3005000;"Powiat grodziski";80,2;
3006000;"Powiat jarociński";119,0;
3007000;"Powiat kaliski";71,1;
3008000;"Powiat kępiński";92,2;
3009000;"Powiat kolski";81,2;
3010000;"Powiat koniński";81,7;
3011000;"Powiat kościański";107,1;
3012000;"Powiat krotoszyński";105,6;
3013000;"Powiat leszczyński";73,9;
3014000;"Powiat międzychodzki";48,6;
3015000;"Powiat nowotomyski";74,3;
3016000;"Powiat obornicki";83,0;
3017000;"Powiat ostrowski";137,0;
3018000;"Powiat ostrzeszowski";70,7;
3019000;"Powiat pilski";103,7;
3020000;"Powiat pleszewski";86,3;
3021000;"Powiat poznański";233,0;
3022000;"Powiat rawicki";106,4;
3023000;"Powiat słupecki";68,7;
3024000;"Powiat szamotulski";81,9;
3025000;"Powiat średzki";96,1;
3026000;"Powiat śremski";106,5;
3027000;"Powiat turecki";87,5;
3028000;"Powiat wągrowiecki";66,4;
3029000;"Powiat wolsztyński";83,5;
3030000;"Powiat wrzesiński";111,1;
3031000;"Powiat złotowski";40,7;
3061000;"Powiat m. Kalisz";1354,5;
3062000;"Powiat m. Konin";827,6;
3063000;"Powiat m. Leszno";1903,4;
3064000;"Powiat m. Poznań";2066,8;
3201000;"Powiat białogardzki";53,0;
3202000;"Powiat choszczeński";33,8;
3203000;"Powiat drawski";30,6;
3204000;"Powiat goleniowski";50,4;
3205000;"Powiat gryficki";55,8;
3206000;"Powiat gryfiński";41,5;
3207000;"Powiat kamieński";44,1;
3208000;"Powiat kołobrzeski";105,9;
3209000;"Powiat koszaliński";40,1;
3210000;"Powiat myśliborski";53,0;
3211000;"Powiat policki";127,8;
3212000;"Powiat pyrzycki";50,7;
3213000;"Powiat sławieński";51,2;
3214000;"Powiat stargardzki";78,4;
3215000;"Powiat szczecinecki";41,5;
3216000;"Powiat świdwiński";39,9;
3217000;"Powiat wałecki";35,6;
3218000;"Powiat łobeski";31,7;
3261000;"Powiat m. Koszalin";1060,0;
3262000;"Powiat m. Szczecin";1302,5;
3263000;"Powiat m. Świnoujście";194,8;
