"Kod";"Nazwa";"ogółem;2022;[%]";
2813000;"Powiat olecki";10,6;
2814000;"Powiat olsztyński";6,7;
2815000;"Powiat ostródzki";8,8;
2816000;"Powiat piski";12,3;
2817000;"Powiat szczycieński";8,3;
2818000;"Powiat gołdapski";9,7;
2819000;"Powiat węgorzewski";12,8;
2861000;"Powiat m. Elbląg";6,7;
2862000;"Powiat m. Olsztyn";2,1;
3001000;"Powiat chodzieski";7,0;
3002000;"Powiat czarnkowsko-trzcianecki";4,5;
3003000;"Powiat gnieźnieński";4,4;
3004000;"Powiat gostyński";4,8;
3005000;"Powiat grodziski";4,4;
3006000;"Powiat jarociński";4,2;
3007000;"Powiat kaliski";3,3;
3008000;"Powiat kępiński";1,8;
3009000;"Powiat kolski";3,4;
3010000;"Powiat koniński";8,6;
3011000;"Powiat kościański";2,8;
3012000;"Powiat krotoszyński";2,7;
3013000;"Powiat leszczyński";2,3;
3014000;"Powiat międzychodzki";4,8;
3015000;"Powiat nowotomyski";2,2;
3016000;"Powiat obornicki";3,2;
3017000;"Powiat ostrowski";3,0;
3018000;"Powiat ostrzeszowski";3,6;
3019000;"Powiat pilski";4,3;
3020000;"Powiat pleszewski";3,7;
3021000;"Powiat poznański";1,0;
3022000;"Powiat rawicki";3,6;
3023000;"Powiat słupecki";7,1;
3024000;"Powiat szamotulski";3,2;
3025000;"Powiat średzki";5,8;
3026000;"Powiat śremski";2,4;
3027000;"Powiat turecki";4,0;
3028000;"Powiat wągrowiecki";5,4;
3029000;"Powiat wolsztyński";1,8;
3030000;"Powiat wrzesiński";4,0;
3031000;"Powiat złotowski";4,7;
3061000;"Powiat m. Kalisz";3,4;
3062000;"Powiat m. Konin";5,9;
3063000;"Powiat m. Leszno";2,8;
3064000;"Powiat m. Poznań";1,0;
3201000;"Powiat białogardzki";16,3;
3202000;"Powiat choszczeński";15,4;
3203000;"Powiat drawski";11,7;
3204000;"Powiat goleniowski";3,4;
3205000;"Powiat gryficki";7,4;
3206000;"Powiat gryfiński";6,9;
3207000;"Powiat kamieński";14,1;
3208000;"Powiat kołobrzeski";1,8;
3209000;"Powiat koszaliński";12,1;
3210000;"Powiat myśliborski";6,2;
3211000;"Powiat policki";3,5;
3212000;"Powiat pyrzycki";11,1;
3213000;"Powiat sławieński";13,5;
3214000;"Powiat stargardzki";7,1;
3215000;"Powiat szczecinecki";15,1;
3216000;"Powiat świdwiński";12,7;
3217000;"Powiat wałecki";8,5;
3218000;"Powiat łobeski";15,2;
3261000;"Powiat m. Koszalin";5,1;
3262000;"Powiat m. Szczecin";3,1;
3263000;"Powiat m. Świnoujście";4,0;
