"Kod";"Nazwa";"budynki mieszkalne ogółem (PKOB 11);2022;[-]";
2410000;"Powiat pszczyński";3,5;
2411000;"Powiat raciborski";2,2;
2412000;"Powiat rybnicki";2,4;
2413000;"Powiat tarnogórski";4,5;
2414000;"Powiat bieruńsko-lędziński";4,8;
2415000;"Powiat wodzisławski";3,0;
2416000;"Powiat zawierciański";2,9;
2417000;"Powiat żywiecki";4,4;
2461000;"Powiat m. Bielsko-Biała";1,4;
2462000;"Powiat m. Bytom";0,7;
2463000;"Powiat m. Chorzów";0,2;
2464000;"Powiat m. Częstochowa";1,0;
2465000;"Powiat m. Dąbrowa Górnicza";1,8;
2466000;"Powiat m. Gliwice";1,0;
2467000;"Powiat m. Jastrzębie-Zdrój";1,2;
2468000;"Powiat m. Jaworzno";1,7;
2469000;"Powiat m. Katowice";0,7;
2470000;"Powiat m. Mysłowice";1,2;
2471000;"Powiat m. Piekary Śląskie";0,5;
2472000;"Powiat m. Ruda Śląska";0,6;
2473000;"Powiat m. Rybnik";1,5;
2474000;"Powiat m. Siemianowice Śląskie";0,8;
2475000;"Powiat m. Sosnowiec";0,7;
2476000;"Powiat m. Świętochłowice";0,2;
2477000;"Powiat m. Tychy";0,9;
2478000;"Powiat m. Zabrze";0,6;
2479000;"Powiat m. Żory";3,1;
2601000;"Powiat buski";3,3;
2602000;"Powiat jędrzejowski";2,4;
2603000;"Powiat kazimierski";1,7;
2604000;"Powiat kielecki";6,9;
2605000;"Powiat konecki";3,1;
2606000;"Powiat opatowski";1,6;
2607000;"Powiat ostrowiecki";1,5;
2608000;"Powiat pińczowski";2,1;
2609000;"Powiat sandomierski";1,5;
2610000;"Powiat skarżyski";1,4;
2611000;"Powiat starachowicki";2,2;
2612000;"Powiat staszowski";2,9;
2613000;"Powiat włoszczowski";2,7;
2661000;"Powiat m. Kielce";0,5;
2801000;"Powiat bartoszycki";0,9;
2802000;"Powiat braniewski";0,9;
2803000;"Powiat działdowski";2,1;
2804000;"Powiat elbląski";3,0;
2805000;"Powiat ełcki";2,4;
2806000;"Powiat giżycki";2,4;
2807000;"Powiat iławski";2,9;
2808000;"Powiat kętrzyński";1,0;
2809000;"Powiat lidzbarski";1,8;
2810000;"Powiat mrągowski";4,3;
2811000;"Powiat nidzicki";2,8;
2812000;"Powiat nowomiejski";3,3;
2813000;"Powiat olecki";1,5;
2814000;"Powiat olsztyński";6,0;
2815000;"Powiat ostródzki";2,4;
2816000;"Powiat piski";2,7;
2817000;"Powiat szczycieński";5,6;
2818000;"Powiat gołdapski";1,1;
2819000;"Powiat węgorzewski";2,4;
2861000;"Powiat m. Elbląg";0,4;
2862000;"Powiat m. Olsztyn";0,3;
3001000;"Powiat chodzieski";1,9;
3002000;"Powiat czarnkowsko-trzcianecki";2,0;
3003000;"Powiat gnieźnieński";3,0;
3004000;"Powiat gostyński";1,8;
3005000;"Powiat grodziski";2,7;
3006000;"Powiat jarociński";1,8;
3007000;"Powiat kaliski";3,3;
3008000;"Powiat kępiński";3,8;
3009000;"Powiat kolski";2,2;
3010000;"Powiat koniński";4,3;
3011000;"Powiat kościański";2,3;
3012000;"Powiat krotoszyński";1,9;
3013000;"Powiat leszczyński";7,1;
3014000;"Powiat międzychodzki";3,7;
3015000;"Powiat nowotomyski";4,3;
3016000;"Powiat obornicki";3,1;
3017000;"Powiat ostrowski";2,7;
3018000;"Powiat ostrzeszowski";3,4;
3019000;"Powiat pilski";1,8;
3020000;"Powiat pleszewski";2,1;
3021000;"Powiat poznański";4,2;
3022000;"Powiat rawicki";2,2;
3023000;"Powiat słupecki";3,8;
3024000;"Powiat szamotulski";3,8;
3025000;"Powiat średzki";3,2;
3026000;"Powiat śremski";4,1;
3027000;"Powiat turecki";3,3;
3028000;"Powiat wągrowiecki";3,4;
3029000;"Powiat wolsztyński";4,0;
3030000;"Powiat wrzesiński";2,4;
3031000;"Powiat złotowski";2,7;
3061000;"Powiat m. Kalisz";1,0;
3062000;"Powiat m. Konin";0,9;
3063000;"Powiat m. Leszno";1,2;
3064000;"Powiat m. Poznań";0,6;
3201000;"Powiat białogardzki";2,2;
3202000;"Powiat choszczeński";1,7;
3203000;"Powiat drawski";2,3;
3204000;"Powiat goleniowski";4,6;
3205000;"Powiat gryficki";3,3;
3206000;"Powiat gryfiński";2,5;
3207000;"Powiat kamieński";5,7;
3208000;"Powiat kołobrzeski";2,7;
3209000;"Powiat koszaliński";6,6;
3210000;"Powiat myśliborski";2,0;
3211000;"Powiat policki";5,2;
3212000;"Powiat pyrzycki";2,1;
3213000;"Powiat sławieński";3,0;
3214000;"Powiat stargardzki";3,7;
3215000;"Powiat szczecinecki";1,9;
3216000;"Powiat świdwiński";1,3;
3217000;"Powiat wałecki";1,5;
3218000;"Powiat łobeski";0,7;
3261000;"Powiat m. Koszalin";1,0;
3262000;"Powiat m. Szczecin";0,6;
3263000;"Powiat m. Świnoujście";0,5;
