"Kod";"Nazwa";"ogółem;2022;[-]";
2473000;"Powiat m. Rybnik";6,9;
2474000;"Powiat m. Siemianowice Śląskie";6,5;
2475000;"Powiat m. Sosnowiec";7,1;
2476000;"Powiat m. Świętochłowice";6,4;
2477000;"Powiat m. Tychy";8,4;
2478000;"Powiat m. Zabrze";7,2;
2479000;"Powiat m. Żory";6,3;
2601000;"Powiat buski";4,8;
2602000;"Powiat jędrzejowski";5,3;
2603000;"Powiat kazimierski";3,4;
2604000;"Powiat kielecki";3,9;
2605000;"Powiat konecki";6,2;
2606000;"Powiat opatowski";4,0;
2607000;"Powiat ostrowiecki";6,1;
2608000;"Powiat pińczowski";4,2;
2609000;"Powiat sandomierski";6,8;
2610000;"Powiat skarżyski";6,1;
2611000;"Powiat starachowicki";5,6;
2612000;"Powiat staszowski";5,9;
2613000;"Powiat włoszczowski";4,6;
2661000;"Powiat m. Kielce";12,2;
2801000;"Powiat bartoszycki";4,6;
2802000;"Powiat braniewski";4,5;
2803000;"Powiat działdowski";6,0;
2804000;"Powiat elbląski";5,1;
2805000;"Powiat ełcki";5,0;
2806000;"Powiat giżycki";6,3;
2807000;"Powiat iławski";5,8;
2808000;"Powiat kętrzyński";5,2;
2809000;"Powiat lidzbarski";4,9;
2810000;"Powiat mrągowski";5,8;
2811000;"Powiat nidzicki";6,5;
2812000;"Powiat nowomiejski";4,8;
2813000;"Powiat olecki";5,2;
2814000;"Powiat olsztyński";5,4;
2815000;"Powiat ostródzki";5,8;
2816000;"Powiat piski";4,1;
2817000;"Powiat szczycieński";4,5;
2818000;"Powiat gołdapski";5,4;
2819000;"Powiat węgorzewski";4,2;
2861000;"Powiat m. Elbląg";7,1;
2862000;"Powiat m. Olsztyn";9,3;
3001000;"Powiat chodzieski";7,0;
3002000;"Powiat czarnkowsko-trzcianecki";6,2;
3003000;"Powiat gnieźnieński";6,5;
3004000;"Powiat gostyński";7,7;
3005000;"Powiat grodziski";7,8;
3006000;"Powiat jarociński";5,6;
3007000;"Powiat kaliski";4,5;
3008000;"Powiat kępiński";10,8;
3009000;"Powiat kolski";4,6;
3010000;"Powiat koniński";4,1;
3011000;"Powiat kościański";6,9;
3012000;"Powiat krotoszyński";6,2;
3013000;"Powiat leszczyński";6,5;
3014000;"Powiat międzychodzki";6,9;
3015000;"Powiat nowotomyski";7,2;
3016000;"Powiat obornicki";7,2;
3017000;"Powiat ostrowski";5,7;
3018000;"Powiat ostrzeszowski";5,8;
3019000;"Powiat pilski";6,7;
3020000;"Powiat pleszewski";5,7;
3021000;"Powiat poznański";8,6;
3022000;"Powiat rawicki";7,7;
3023000;"Powiat słupecki";6,0;
3024000;"Powiat szamotulski";7,2;
3025000;"Powiat średzki";6,3;
3026000;"Powiat śremski";6,8;
3027000;"Powiat turecki";6,1;
3028000;"Powiat wągrowiecki";5,3;
3029000;"Powiat wolsztyński";8,6;
3030000;"Powiat wrzesiński";6,5;
3031000;"Powiat złotowski";6,1;
3061000;"Powiat m. Kalisz";9,4;
3062000;"Powiat m. Konin";9,6;
3063000;"Powiat m. Leszno";11,1;
3064000;"Powiat m. Poznań";13,5;
3201000;"Powiat białogardzki";5,6;
3202000;"Powiat choszczeński";5,0;
3203000;"Powiat drawski";5,6;
3204000;"Powiat goleniowski";5,6;
3205000;"Powiat gryficki";5,4;
3206000;"Powiat gryfiński";5,1;
3207000;"Powiat kamieński";6,3;
3208000;"Powiat kołobrzeski";7,1;
3209000;"Powiat koszaliński";4,6;
3210000;"Powiat myśliborski";6,3;
3211000;"Powiat policki";5,9;
3212000;"Powiat pyrzycki";4,8;
3213000;"Powiat sławieński";4,7;
3214000;"Powiat stargardzki";4,7;
3215000;"Powiat szczecinecki";5,8;
3216000;"Powiat świdwiński";5,7;
3217000;"Powiat wałecki";5,9;
3218000;"Powiat łobeski";4,5;
3261000;"Powiat m. Koszalin";8,8;
3262000;"Powiat m. Szczecin";9,1;
3263000;"Powiat m. Świnoujście";6,5;
