"Kod";"Nazwa";"ogółem;2022;[zł]";
1818000;"Powiat stalowowolski";5817,58;
1819000;"Powiat strzyżowski";4831,84;
1820000;"Powiat tarnobrzeski";5746,03;
1821000;"Powiat leski";5831,15;
1861000;"Powiat m. Krosno";5420,94;
1862000;"Powiat m. Przemyśl";5454,18;
1863000;"Powiat m. Rzeszów";6508,96;
1864000;"Powiat m. Tarnobrzeg";5478,64;
2001000;"Powiat augustowski";6050,82;
2002000;"Powiat białostocki";5597,60;
2003000;"Powiat bielski";6839,68;
2004000;"Powiat grajewski";6144,83;
2005000;"Powiat hajnowski";6773,76;
2006000;"Powiat kolneński";5471,56;
2007000;"Powiat łomżyński";6087,64;
2008000;"Powiat moniecki";5531,47;
2009000;"Powiat sejneński";6308,40;
2010000;"Powiat siemiatycki";5439,21;
2011000;"Powiat sokólski";5506,16;
2012000;"Powiat suwalski";5323,60;
2013000;"Powiat wysokomazowiecki";6070,52;
2014000;"Powiat zambrowski";5601,17;
2061000;"Powiat m. Białystok";6183,98;
2062000;"Powiat m. Łomża";5827,01;
2063000;"Powiat m. Suwałki";5547,59;
2201000;"Powiat bytowski";5961,47;
2202000;"Powiat chojnicki";5433,86;
2203000;"Powiat człuchowski";5613,05;
2204000;"Powiat gdański";6466,20;
2205000;"Powiat kartuski";5651,36;
2206000;"Powiat kościerski";5458,75;
2207000;"Powiat kwidzyński";5839,35;
2208000;"Powiat lęborski";5918,89;
2209000;"Powiat malborski";5340,19;
2210000;"Powiat nowodworski";5749,44;
2211000;"Powiat pucki";5893,38;
2212000;"Powiat słupski";5628,96;
2213000;"Powiat starogardzki";6430,22;
2214000;"Powiat tczewski";6105,39;
2215000;"Powiat wejherowski";5557,82;
2216000;"Powiat sztumski";5597,89;
2261000;"Powiat m. Gdańsk";7876,68;
2262000;"Powiat m. Gdynia";6985,73;
2263000;"Powiat m. Słupsk";5904,49;
2264000;"Powiat m. Sopot";7701,83;
2401000;"Powiat będziński";5671,96;
2402000;"Powiat bielski";5875,70;
2403000;"Powiat cieszyński";5838,18;
2404000;"Powiat częstochowski";5774,96;
2405000;"Powiat gliwicki";6067,07;
2406000;"Powiat kłobucki";5132,42;
2407000;"Powiat lubliniecki";5685,44;
2408000;"Powiat mikołowski";5957,61;
2409000;"Powiat myszkowski";5629,12;
2410000;"Powiat pszczyński";5980,40;
2411000;"Powiat raciborski";6823,09;
2412000;"Powiat rybnicki";5660,84;
2413000;"Powiat tarnogórski";6218,12;
2414000;"Powiat bieruńsko-lędziński";5620,67;
2415000;"Powiat wodzisławski";5478,76;
2416000;"Powiat zawierciański";6438,58;
2417000;"Powiat żywiecki";6015,37;
2461000;"Powiat m. Bielsko-Biała";6434,35;
2462000;"Powiat m. Bytom";6303,49;
2463000;"Powiat m. Chorzów";5954,04;
2464000;"Powiat m. Częstochowa";6018,76;
2465000;"Powiat m. Dąbrowa Górnicza";7271,87;
2466000;"Powiat m. Gliwice";7469,70;
